Season,Race,Overtakes,TV,Percentage,GP_num,raceId,circuitId,name_x,url,weather
2009,Australia,32,18,56.25,1,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,dry
2009,Malaysia,38,29,76.32,2,2,2,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,wet
2009,China,65,22,33.85,3,3,17,Chinese Grand Prix,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,wet
2009,Bahrain,31,21,67.74,4,4,3,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,dry
2009,Spain,3,3,100.0,5,5,4,Spanish Grand Prix,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix,dry
2009,Monaco,8,6,75.0,6,6,6,Monaco Grand Prix,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix,dry
2009,Turkey,13,9,69.23,7,7,5,Turkish Grand Prix,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix,dry
2009,Great Britain,11,9,81.82,8,8,9,British Grand Prix,http://en.wikipedia.org/wiki/2009_British_Grand_Prix,dry
2009,Germany,18,9,50.0,9,9,20,German Grand Prix,http://en.wikipedia.org/wiki/2009_German_Grand_Prix,wet
2009,Hungary,7,7,100.0,10,10,11,Hungarian Grand Prix,http://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix,dry
2009,Europe,1,1,100.0,11,11,12,European Grand Prix,http://en.wikipedia.org/wiki/2009_European_Grand_Prix,dry
2009,Belgium,11,10,90.91,12,12,13,Belgian Grand Prix,http://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix,wet
2009,Italy,10,8,80.0,13,13,14,Italian Grand Prix,http://en.wikipedia.org/wiki/2009_Italian_Grand_Prix,dry
2009,Singapore,4,3,75.0,14,14,15,Singapore Grand Prix,http://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix,dry
2009,Japan,12,4,33.33,15,15,22,Japanese Grand Prix,http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix,wet
2009,Brazil,29,19,65.52,16,16,18,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix,dry
2009,Abu Dhabi,8,5,62.5,17,17,24,Abu Dhabi Grand Prix,http://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix,dry
2008,Australia,15,11,73.33,1,18,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,wet
2008,Malaysia,6,5,83.33,2,19,2,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,dry
2008,Bahrain,15,9,60.0,3,20,3,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix,dry
2008,Spain,3,2,66.67,4,21,4,Spanish Grand Prix,http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix,dry
2008,Turkey,15,15,100.0,5,22,5,Turkish Grand Prix,http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix,dry
2008,Monaco,33,13,39.39,6,23,6,Monaco Grand Prix,http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix,wet
