,index,year,name,race_id,weather_description,is_it_wet;;
"0,1950,Italian Grand Prix,839,""Warm, hot and sunny"",Not Wet";;
1,1950,French Grand Prix,838,Hot and sunny,Not Wet;;
"2,1950,Belgian Grand Prix,837,""Warm, dry and sunny"",Not Wet";;
"3,1950,Swiss Grand Prix,836,""Warm, dry and sunny"",Not Wet";;
4,1950,Indianapolis 500,835,No weather description,Not Wet;;
5,1950,Monaco Grand Prix,834,No weather description,Not Wet;;
"6,1950,British Grand Prix,833,""Sunny, mild, dry."",Not Wet";;
7,1951,Italian Grand Prix,831,Warm and sunny,Not Wet;;
"8,1951,Spanish Grand Prix,832,""Hot, Dry"",Not Wet";;
"9,1951,German Grand Prix,830,""Sunny, Mild, Dry"",Not Wet";;
"10,1951,British Grand Prix,829,""Mild, Dry"",Not Wet";;
"11,1951,French Grand Prix,828,""Sunny, Hot, Dry"",Not Wet";;
"12,1951,Belgian Grand Prix,827,""Sunny, Mild, Dry"",Not Wet";;
13,1951,Indianapolis 500,826,No weather description,Not Wet;;
"14,1951,Swiss Grand Prix,825,""Overcast, rain"",Wet";;
15,1952,Swiss Grand Prix,817,Sunny,Not Wet;;
16,1952,Dutch Grand Prix,823,Rainy,Wet;;
17,1952,Indianapolis 500,818,No weather description,Not Wet;;
18,1952,Belgian Grand Prix,819,Rain,Wet;;
19,1952,French Grand Prix,820,Rain,Wet;;
"20,1952,British Grand Prix,821,""Overcast, dry."",Not Wet";;
21,1952,German Grand Prix,822,Sunny,Not Wet;;
22,1952,Italian Grand Prix,824,Sunny,Not Wet;;
"23,1953,Italian Grand Prix,816,""Sunny, mild, dry"",Not Wet";;
"24,1953,Swiss Grand Prix,815,""Sunny, mild, dry"",Not Wet";;
"25,1953,German Grand Prix,814,""Sunny, mild, dry"",Not Wet";;
"26,1953,British Grand Prix,813,""Overcast, showers"",Wet";;
"27,1953,French Grand Prix,812,""Hot, dry"",Not Wet";;
"28,1953,Belgian Grand Prix,811,""Hot, dry"",Not Wet";;
29,1953,Indianapolis 500,809,No weather description,Not Wet;;
"30,1953,Argentine Grand Prix,808,""Hot, dry"",Not Wet";;
"31,1953,Dutch Grand Prix,810,""Sunny, mild, dry"",Not Wet";;
"32,1954,German Grand Prix,804,""Sunny, dry"",Not Wet";;
"33,1954,Spanish Grand Prix,807,""Sunny, mild, dry"",Not Wet";;
"34,1954,Italian Grand Prix,806,""Sunny, mild, dry"",Not Wet";;
35,1954,Swiss Grand Prix,805,Rain,Wet;;
"36,1954,French Grand Prix,802,""Overcast, wet"",Wet";;
"37,1954,British Grand Prix,803,""Cold, wet (heavy rain).[1]"",Wet";;
"38,1954,Argentine Grand Prix,799,""Overcast, wet"",Wet";;
"39,1954,Belgian Grand Prix,801,""Sunny, mild, dry"",Not Wet";;
40,1954,Indianapolis 500,800,No weather description,Not Wet;;
"41,1955,British Grand Prix,797,""Hot, dry.[1]"",Not Wet";;
42,1955,Dutch Grand Prix,796,Drizzly,Not Wet;;
43,1955,Belgian Grand Prix,795,No weather description,Not Wet;;
44,1955,Indianapolis 500,794,No weather description,Not Wet;;
45,1955,Monaco Grand Prix,793,No weather description,Not Wet;;
46,1955,Argentine Grand Prix,792,Very hot and dry,Not Wet;;
47,1955,Italian Grand Prix,798,No weather description,Not Wet;;
48,1956,German Grand Prix,790,No weather description,Not Wet;;
"49,1956,British Grand Prix,789,""Overcast, dry"",Not Wet";;
50,1956,French Grand Prix,788,No weather description,Not Wet;;
"51,1956,Belgian Grand Prix,787,""Wet and overcast, later drying"",Wet";;
52,1956,Indianapolis 500,786,No weather description,Not Wet;;
"53,1956,Monaco Grand Prix,785,""Warm, dry, sunny"",Not Wet";;
54,1956,Argentine Grand Prix,784,Overcast but dry,Not Wet;;
"55,1956,Italian Grand Prix,791,""Cloudy, warm, alternating light rain"",Wet";;
"56,1957,British Grand Prix,780,""Overcast, dry."",Not Wet";;
"57,1957,Pescara Grand Prix,782,""Sunny, very hot, dry"",Not Wet";;
58,1957,Italian Grand Prix,783,No weather description,Not Wet;;
59,1957,German Grand Prix,781,No weather description,Not Wet;;
60,1957,Indianapolis 500,778,No weather description,Not Wet;;
61,1957,Monaco Grand Prix,777,No weather description,Not Wet;;
62,1957,French Grand Prix,779,No weather description,Not Wet;;
63,1957,Argentine Grand Prix,776,No weather description,Not Wet;;
64,1958,British Grand Prix,771,No weather description,Not Wet;;
65,1958,Argentine Grand Prix,765,No weather description,Not Wet;;
66,1958,Monaco Grand Prix,766,No weather description,Not Wet;;
67,1958,Dutch Grand Prix,767,No weather description,Not Wet;;
68,1958,Indianapolis 500,768,No weather description,Not Wet;;
"69,1958,Belgian Grand Prix,769,""Hot, dry"",Not Wet";;
70,1958,French Grand Prix,770,No weather description,Not Wet;;
71,1958,German Grand Prix,772,No weather description,Not Wet;;
72,1958,Portuguese Grand Prix,773,No weather description,Not Wet;;
73,1958,Italian Grand Prix,774,No weather description,Not Wet;;
"74,1958,Moroccan Grand Prix,775,""Warm, dry, sunny"",Not Wet";;
75,1959,British Grand Prix,760,Dry and sunny.,Not Wet;;
76,1959,Dutch Grand Prix,758,Sunny,Not Wet;;
77,1959,United States Grand Prix,764,Sunny with temperatures reaching up to 25Â Â°C (77Â Â°F);Winds speeds up to 25.93Â km/h (16.11Â mph)[1],Not Wet;
78,1959,Italian Grand Prix,763,Dry and sunny,Not Wet;;
"79,1959,French Grand Prix,759,""Hot, dry"",Not Wet";;
80,1959,Portuguese Grand Prix,762,Hot and clear.,Not Wet;;
81,1959,German Grand Prix,761,Dry and dull.,Not Wet;;
82,1959,Indianapolis 500,757,No weather description,Not Wet;;
"83,1959,Monaco Grand Prix,756,""Hot, clear"",Not Wet";;
84,1960,Belgian Grand Prix,750,No weather description,Not Wet;;
85,1960,Indianapolis 500,748,No weather description,Not Wet;;
86,1960,United States Grand Prix,755,Temperatures up to 24.4Â Â°C (75.9Â Â°F);Wind speeds up to 18.33Â km/h (11.39Â mph)[1],Not Wet;
"87,1960,Italian Grand Prix,754,""Warm, dry"",Not Wet";;
88,1960,Portuguese Grand Prix,753,No weather description,Not Wet;;
"89,1960,British Grand Prix,752,""Dry, overcast."",Not Wet";;
90,1960,Monaco Grand Prix,747,No weather description,Not Wet;;
91,1960,Dutch Grand Prix,749,No weather description,Not Wet;;
92,1960,Argentine Grand Prix,746,Dry,Not Wet;;
93,1960,French Grand Prix,751,Dry,Not Wet;;
94,1961,Italian Grand Prix,744,Sunny,Not Wet;;
95,1961,United States Grand Prix,745,Temperatures up to 22Â Â°C (72Â Â°F);Wind speeds up to 16.48Â km/h (10.24Â mph)[1],Not Wet;
"96,1961,British Grand Prix,742,""Torrential rain, drying later"",Wet";;
97,1961,French Grand Prix,741,Sunny,Not Wet;;
98,1961,Dutch Grand Prix,739,Sunny,Not Wet;;
99,1961,Monaco Grand Prix,738,Sunny,Not Wet;;
100,1961,German Grand Prix,743,Wet,Wet;;
101,1961,Belgian Grand Prix,740,Sunny,Not Wet;;
102,1962,United States Grand Prix,736,Sunny,Not Wet;;
103,1962,Dutch Grand Prix,729,Sunny,Not Wet;;
104,1962,Monaco Grand Prix,730,Cloudy,Not Wet;;
105,1962,Belgian Grand Prix,731,Sunny,Not Wet;;
106,1962,French Grand Prix,732,Sunny,Not Wet;;
107,1962,German Grand Prix,734,Heavy rain showers,Wet;;
"108,1962,Italian Grand Prix,735,""Dry, with rain later"",Wet";;
"109,1962,South African Grand Prix,737,""Dry, windy"",Not Wet";;
110,1962,British Grand Prix,733,Sunny,Not Wet;;
"111,1963,Italian Grand Prix,725,""Warm, dry and sunny"",Not Wet";;
112,1963,Belgian Grand Prix,720,Wet and overcast,Wet;;
"113,1963,South African Grand Prix,728,""Hot, dry and windy"",Not Wet";;
"114,1963,Mexican Grand Prix,727,""Overcast, dry"",Not Wet";;
115,1963,United States Grand Prix,726,Sunny,Not Wet;;
"116,1963,German Grand Prix,724,""Warm, dry and sunny, 21C."",Not Wet";;
"117,1963,British Grand Prix,723,""Warm, dry and sunny"",Not Wet";;
"118,1963,French Grand Prix,722,""Sunny, then rain"",Wet";;
119,1963,Dutch Grand Prix,721,Sunny,Not Wet;;
"120,1963,Monaco Grand Prix,719,""Warm, dry and sunny"",Not Wet";;
121,1964,French Grand Prix,712,Dry,Not Wet;;
"122,1964,British Grand Prix,713,""Warm, dry"",Not Wet";;
123,1964,Austrian Grand Prix,715,Dry,Not Wet;;
124,1964,Monaco Grand Prix,709,No weather description,Not Wet;;
"125,1964,United States Grand Prix,717,""Sunny, warm"",Not Wet";;
126,1964,Mexican Grand Prix,718,No weather description,Not Wet;;
127,1964,Belgian Grand Prix,711,Dry,Not Wet;;
128,1964,Italian Grand Prix,716,Dry,Not Wet;;
129,1964,Dutch Grand Prix,710,Dry,Not Wet;;
130,1964,German Grand Prix,714,Dry,Not Wet;;
131,1965,Mexican Grand Prix,708,No weather description,Not Wet;;
132,1965,German Grand Prix,705,Overcast and dry,Not Wet;;
133,1965,Dutch Grand Prix,704,No weather description,Not Wet;;
"134,1965,British Grand Prix,703,""Warm, dry and overcast"",Not Wet";;
135,1965,French Grand Prix,702,Sunny,Not Wet;;
136,1965,Belgian Grand Prix,701,Heavy rain,Wet;;
137,1965,Monaco Grand Prix,700,No weather description,Not Wet;;
138,1965,South African Grand Prix,699,No weather description,Not Wet;;
"139,1965,United States Grand Prix,707,""Rainy, windy, cold"",Wet";;
140,1965,Italian Grand Prix,706,No weather description,Not Wet;;
"141,1966,Italian Grand Prix,696,""Warm, dry and sunny"",Not Wet";;
142,1966,German Grand Prix,695,Overcast and wet,Wet;;
"143,1966,Dutch Grand Prix,694,""Sunny, Mild, Dry"",Not Wet";;
"144,1966,British Grand Prix,693,""Wet, drying later"",Wet";;
"145,1966,French Grand Prix,692,""Hot, dry"",Not Wet";;
146,1966,Belgian Grand Prix,691,Overcast and wet,Wet;;
"147,1966,Monaco Grand Prix,690,""Overcast, Mild, Dry"",Not Wet";;
"148,1966,United States Grand Prix,697,""Cool, dry"",Not Wet";;
"149,1966,Mexican Grand Prix,698,""Warm, clear"",Not Wet";;
150,1967,South African Grand Prix,679,No weather description,Not Wet;;
151,1967,Dutch Grand Prix,681,No weather description,Not Wet;;
152,1967,Mexican Grand Prix,689,No weather description,Not Wet;;
153,1967,United States Grand Prix,688,Sunny,Not Wet;;
"154,1967,Italian Grand Prix,687,""Warm, dry"",Not Wet";;
155,1967,Canadian Grand Prix,686,Rainy with temperatures up to 24.4Â Â°C (75.9Â Â°F); wind speeds up to 8 kilometres per hour (5.0Â mph)[1],Wet;
"156,1967,German Grand Prix,685,""Warm, dry and sunny"",Not Wet";;
157,1967,British Grand Prix,684,No weather description,Not Wet;;
158,1967,French Grand Prix,683,No weather description,Not Wet;;
159,1967,Belgian Grand Prix,682,No weather description,Not Wet;;
